"incidencia_id","estudiante_id"
"80","1513"
"51","1515"
"68","1515"
"80","1521"
"77","1543"
"58","1549"
"77","1554"
"111","1554"
"112","1554"
"77","1556"
"112","1558"
"77","1563"
"110","1563"
"77","1568"
"50","1574"
"50","1575"
"50","1576"
"50","1579"
"32","1584"
"50","1586"
"32","1593"
"32","1594"
"74","1599"
"72","1604"
"73","1604"
"72","1609"
"73","1609"
"87","1618"
"65","1634"
"26","1635"
"91","1636"
"25","1637"
"41","1637"
"43","1637"
"65","1637"
"97","1637"
"65","1638"
"97","1638"
"66","1645"
"70","1645"
"90","1645"
"65","1650"
"24","1653"
"17","1654"
"44","1654"
"89","1654"
"102","1655"
"25","1656"
"45","1656"
"65","1656"
"65","1657"
"24","1658"
"88","1658"
"25","1659"
"27","1659"
"66","1659"
"70","1659"
"81","1659"
"86","1659"
"96","1659"
"97","1659"
"100","1659"
"84","1661"
"109","1661"
"117","1664"
"75","1668"
"59","1670"
"109","1671"
"116","1672"
"62","1673"
"109","1673"
"59","1674"
"75","1674"
"59","1682"
"18","1683"
"115","1683"
"115","1688"
"57","1689"
"61","1693"
"35","1695"
"37","1695"
"56","1696"
"36","1701"
"31","1702"
"18","1705"
"48","1705"
"55","1709"
"85","1709"
"113","1711"
"28","1712"
"31","1712"
"38","1712"
"54","1712"
"78","1712"
"85","1712"
"114","1712"
"67","1723"
"69","1723"
"67","1724"
"67","1725"
"101","1725"
"67","1730"
"79","1730"
"79","1734"
"67","1741"
"67","1742"
"69","1744"
"79","1745"
"69","1748"
"63","1752"
"64","1755"
"93","1758"
"94","1758"
"63","1772"
"49","1812"
"95","1866"
"39","1885"
"71","1887"
"52","1896"
"46","1904"
"47","1904"
"29","1935"
"82","1935"
"30","1938"
"92","1938"
"42","1978"
"42","1980"
"98","1986"
"99","1986"
"42","1987"
"23","2016"
"34","2017"
"33","2018"
"60","2043"
"104","2043"
"105","2043"
"22","2050"
"60","2051"
"107","2051"
"21","2057"
"40","2057"
"103","2057"
"106","2058"
"108","2065"
"83","2070"
"83","2073"
"19","2078"
"83","2078"
"83","2079"
"19","2081"
"20","2081"
"83","2081"
"20","2083"
"19","2088"
"83","2088"
"83","2090"
"83","2091"
"19","2094"
"20","2094"
"83","2094"
"19","2096"
"20","2097"
"53","2111"
"53","2123"
